Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-1.489924509,0.45142656,5.84803914,-0.239685135,0.326576862,1.25547744,3.846078427,1.249628891,-2.716626519,-3.89396893,-4.090149694,-1.36803173,2.255826788,1.499503408,3.153186638,2.063642239,-0.094816273,1.889837197,5.048959444,1.594613437,3.658962437,1.710847733,6.606236555,8.041624462,7.588005733,8.311738814,2.791533596,-2.931148979,6.132853616,3.177846489,-0.003950297,2.875832799,4.200629141,3.047273466,2.050781742,3.378162812,2.80862838,1.773077923,-4.805136941,4.468221752,2.750629235,2.540826099,3.071758048
Afghanistan,AFG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26969288,17.47607586,12.99172359,13.66754345,7.63312622,5.74181789,6.107141131,6.270601338,9.807670419,6.394071008,5.060990682,2.765780534,4.171121344,-0.765914429,9.206792437,11.07464164,4.848868058,-4.630253149,-12.80874006,-5.725219621,1.796343325,
Africa Western and Central,AFW,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-8.60167875,-13.18000972,3.612773337,4.190053511,-2.861240716,2.726717702,5.239836161,1.413742798,14.04123817,-2.495237574,4.203220098,-5.230567217,-3.199196226,-1.338348787,5.134446081,2.747439304,1.29529985,-3.318280175,5.088205458,4.883201564,2.45473347,9.077202643,2.299844105,2.162248442,-0.604879344,-0.708217799,0.336283537,2.375604945,3.645497763,8.290970752,4.01466783,2.884593413,4.594300975,-0.627611004,-5.108272456,3.550134276,3.333820157,4.463730717,-3.389652829,1.033625139,-0.594307916,2.813967845,3.658545318
Angola,AGO,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086642408,14.80095444,20.49593151,13.19335073,19.79890087,9.566770776,-3.899999989,-0.092053306,-2.155535105,10.51398753,2.968212184,-1.567503751,8.284815575,-0.630334158,-3.18733963,-6.212948355,-3.47800034,-10.46155586,-8.338016831,1.767123314,-1.004371488,4.960661485
Albania,ALB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85258388,-16.9335224,18.05797927,20.13925236,27.2237987,21.216967,7.525323612,11.79574302,7.116871476,6.275275354,9.245633266,6.448001031,6.945844648,0.847692979,0.991721653,1.828040689,-5.987726002,2.823884419,-1.488542788,5.681482953,2.867947717,2.692363915,8.261521546,0.308630165,-2.78406664,8.852280945,8.872068273,3.08181784,-0.154703538
Andorra,AND,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.706829483,5.554345459,11.77701786,10.1273835,7.100605886,5.670587183,-2.803758094,-5.812814317,-9.391396806,-12.86479592,-9.274819217,-11.65897577,-7.499269433,-1.986336532,-0.278001612,5.36543978,2.864373634,8.245731753,7.755355052,-3.895813359,5.749725649,-1.226415094,14.39350525,6.036570093
Arab World,ARB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.036133866,-1.90286854,3.972517143,9.022102127,4.633214496,6.027777023,2.473554333,5.482549466,-2.458775076,5.440519344,3.561151053,4.987471536,-0.014389667,1.175879797,3.121034973,4.072983028,-5.26E-05,2.628253434,0.228333222,-5.687907938,3.942272251,8.414628582,-1.414262161,-1.427097669
United Arab Emirates,ARE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.698172905,7.091538735,9.359792297,3.828416585,13.81931343,-2.682031467,2.573258145,-6.512338397,2.466745782,7.779829795,2.355634305,3.017209647,1.154238244,8.009329378,5.022968351,-2.899940389,3.284014412,-0.841637647,-2.789919209,2.626961157,8.384345997,0.799196329,
Argentina,ARG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,1.109731688,4.231080068,9.474208411,11.5461698,-0.930250743,6.329266011,3.123893824,0.805741916,6.037503261,-1.091007568,0.555648947,8.629089874,-8.334899041,7.541405247,-1.288950461,-10.66333426,-3.209381222,5.377687816,0.67428643,-8.651011892,8.630264182,3.356776926,-3.551976184,-8.588761139,-5.325307986,10.68745987,11.01675292,5.470297026,6.206351238,-3.551436932,6.193445871,8.371139609,1.946101648,-6.622489521,-2.195351962,-5.191488588,-11.35637722,14.16136073,10.81533519,6.534384086,8.664922353,6.033347427,3.072042814,-6.433340906,8.80489749,5.830917839,-2.201126631,0.551194177,-3.462035016,1.389808314,-5.825158741,2.302832903,-3.049315189,-4.740755306,-9.28398484,15.38313328,5.57390862,-0.234034084,-7.24147201
