Importers,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024
World,682415,751775,883406,896278,734645,725512,778372,745575,796369,840186,731771,777139,805659,933195,792364,755477,961782,1015269,959512,918983
France,137905,153633,193499,208403,189662,192807,192129,182345,183228,173997,146323,158676,160248,175103,158542,160056,176008,191793,195324,175965
Spain,140149,178579,198567,171261,129429,134954,131557,104228,112216,125975,114586,123482,131061,163715,127856,103653,142817,150133,148035,144565
United States of America,44400,45629,55528,46429,34225,35799,45572,57277,64596,61303,65222,74600,79620,93380,82213,82634,109592,105598,98219,93227
Germany,65585,58052,62413,70111,60750,58756,62711,56024,56371,65386,58094,56679,63407,67902,58412,82564,87554,98765,84643,92379
United Kingdom,74203,71403,77903,69024,51563,45688,47478,43270,49294,51665,50477,56377,63863,74227,64425,56162,84779,80313,75571,73802
Netherlands,23829,25413,28491,30707,23023,22743,25051,20116,22116,33246,27664,33983,41507,59888,47506,48933,68061,76423,67013,66237
Italy,24562,23262,30509,31919,28594,25751,27262,27773,29014,28822,29391,33363,35686,45148,40647,34546,39382,40987,42220,36962
Sweden,18703,16921,20743,19621,17127,16889,20137,19058,20075,22703,18833,20783,20175,21591,21154,23818,31660,32180,26633,23588
Belgium,15403,18868,21529,25225,19280,16782,17674,14614,17036,18169,16042,16376,18281,22564,17339,18066,17399,24450,17139,15218
Canada,3416,3211,3902,3513,2767,4505,6585,7064,8491,5751,4257,4983,7636,9301,9000,9087,16419,17934,12351,12838
Denmark,7855,7074,7794,9470,7258,6096,7719,8049,11206,15551,16041,12367,10852,13081,11342,11561,13808,14105,11480,12795
Switzerland,8948,9945,10507,10887,8857,7733,7440,7812,7882,8781,7397,8522,8475,7921,7274,6849,9516,12402,16929,11191
Morocco,377,610,1003,658,1167,1478,2458,2610,4248,6454,7644,7928,6893,7472,7500,6027,8894,8252,6876,10651
Poland,3520,2208,2789,2764,2379,1613,1539,1840,2905,3584,3733,3797,4507,2765,3354,4192,7913,9088,8986,9352
Brazil,246,418,159,1748,1486,2161,4220,3637,6119,5788,4597,3087,2660,9667,5032,3014,7062,7980,8359,9194
Angola,20223,30154,40506,48683,45729,46680,52454,59828,67004,60190,30118,18341,20873,21409,15048,10396,10325,16810,15737,9096
Algeria,2284,1342,2742,3441,4974,3271,8835,18201,17182,17988,16861,17257,9491,8239,6993,2807,2479,3005,10124,8998
Finland,7349,8421,9515,9854,7839,7488,8336,8552,6113,6315,7390,8833,10754,10191,8345,8309,9689,9278,9582,8466
Australia,2735,2420,2724,3714,2517,2767,3450,3133,4269,4965,3215,3952,3840,3204,2649,2726,10394,5586,4277,6123
Austria,1909,1908,1740,1919,2172,2083,2618,2221,2327,2311,2100,2445,3468,4180,3775,4268,5472,5935,5829,6038
Norway,6235,7536,8410,7311,5625,5932,6118,6513,6799,6454,5070,7443,6881,7637,6355,5685,8423,8387,7442,5583
Cabo Verde,5973,5630,9310,11155,6775,6889,7864,6298,5477,6190,5229,7062,5558,5787,5581,3132,4805,4360,4474,4571
United Arab Emirates,3604,4261,4188,7264,4311,3893,3995,2179,3406,3450,4386,6989,6041,5055,5286,3243,5617,3805,3906,4450
"Korea, Republic of",876,887,1591,1324,803,1492,1138,1521,1492,3419,3191,4530,5167,4508,4080,3796,4702,3644,2927,4171
Ireland,6903,12433,12266,10206,5029,3109,2892,2379,2090,3185,2476,3188,2777,3060,2775,2612,4927,4283,3730,4115
South Africa,2640,2792,3995,1991,1322,1056,2053,2860,3036,4949,4072,5035,4223,5374,3812,3683,4745,6937,4506,3564
Romania,918,863,2380,2160,424,954,621,539,340,334,956,1021,989,674,1105,676,1185,1736,2231,3444
Mozambique,1575,2045,2550,2636,3466,4738,6043,6807,7056,8655,7650,4273,4028,3811,3408,2858,3694,3787,3246,3423
Lebanon,723,1239,1719,2808,3565,4645,6047,7558,8868,9654,8681,9238,8142,9110,4494,2216,3474,4716,4074,3272
Guinea-Bissau,577,1407,1348,1746,1268,1932,1735,1983,1721,2298,2336,2008,2003,1956,2706,1970,3083,3045,3493,3137
Greece,12346,12865,14778,13610,7005,6146,4288,2842,1436,1550,1129,1578,1492,2058,1522,934,1595,2009,1949,2291
Luxembourg,1115,1233,1480,2196,2207,2501,2526,1889,2077,2619,2022,2588,1839,2185,1780,1587,2593,2595,2088,2252
Czech Republic,664,369,914,1046,1024,1255,2203,1629,2429,1865,1858,3324,2359,2285,2383,1650,2044,1970,1823,2248
Israel,1758,1156,1715,2312,2587,2900,3110,2601,2517,2383,2124,3427,2002,1682,1397,1655,2151,4043,2410,2178
Senegal,604,1050,1269,2683,1617,1027,421,940,871,746,642,675,696,809,733,1126,1462,1230,1980,1944
Saudi Arabia,997,1297,1682,6201,5039,1736,2421,4276,4026,4509,4002,3328,2845,3309,1711,2268,2201,1549,1177,1898
Lithuania,575,753,1276,1399,251,155,980,815,972,1141,1348,1521,823,888,1092,1541,1225,1075,1245,1716
China,295,302,142,202,1132,1668,4352,1689,1746,2890,2696,3178,2884,4102,2803,1549,2883,990,1202,1684
