Importers,Value exported in 2024 (USD thousand),Trade balance 2024 (USD thousand),Share in Portugal's exports (%),"Growth in exported value between 2020-2024 (%, p.a.)","Growth in exported value between 2023-2024 (%, p.a.)",Ranking of partner countries in world imports,Share of partner countries in world imports (%),"Total imports growth in value of partner countries between 2020-2024 (%, p.a.)",Average distance between partner countries and all their supplying markets (km),Concentration of all supplying countries of partner countries,Average tariff (estimated) faced by Portugal (%)
World,918983,595711,100,4,-4,,100,3,,,
France,175965,169876,19.1,3,-10,3,4.3,2,2429,0.13,0
Spain,144565,-48245,15.7,7,-2,19,1.4,5,3994,0.13,0
United States of America,93227,92231,10.1,1,-5,1,14.8,5,8618,0.15,6.6
Germany,92379,72128,10.1,2,9,2,5.3,-3,3649,0.1,0
United Kingdom,73802,72906,8,4,-2,4,3.9,6,3731,0.1,0
Netherlands,66237,54232,7.2,6,-1,15,1.7,-6,3698,0.13,0
Italy,36962,13920,4,2,-12,7,2.4,10,2926,0.09,0
Sweden,23588,23582,2.6,-2,-11,36,0.7,-2,2234,0.09,0
Belgium,15218,13491,1.7,-4,-11,12,1.9,2,3836,0.08,0
Canada,12838,12763,1.4,4,4,8,2.2,3,7015,0.18,0
Denmark,12795,12634,1.4,0,11,39,0.7,0,3428,0.09,0
Switzerland,11191,11068,1.2,17,-34,26,1.2,-1,1759,0.21,0
Morocco,10651,3894,1.2,9,55,38,0.7,7,3280,0.24,0
Poland,9352,7253,1,19,4,9,2.1,4,3621,0.14,0
Brazil,9194,8437,1,27,10,40,0.6,11,13012,0.18,14.3
Angola,9096,9092,1,2,-42,142,0.05,0,8680,0.28,28.7
Algeria,8998,8997,1,45,-11,64,0.3,-9,6832,0.42,22
Finland,8466,8358,0.9,0,-12,58,0.4,0,3354,0.07,0
Australia,6123,6109,0.7,8,43,17,1.5,2,10132,0.42,4.1
Austria,6038,5694,0.7,8,4,25,1.3,1,1765,0.2,0
Norway,5583,5546,0.6,-2,-25,47,0.5,-2,3339,0.08,0
Cabo Verde,4571,4571,0.5,7,2,157,0.02,2,6054,0.26,19.1
United Arab Emirates,4450,4266,0.5,3,14,16,1.6,-2,4766,0.23,5
"Korea, Republic of",4171,4087,0.5,-3,43,5,2.9,0,3850,0.3,0
Ireland,4115,4106,0.4,7,10,54,0.4,11,3566,0.15,0
South Africa,3564,3545,0.4,-1,-21,37,0.7,-1,9112,0.15,0
Romania,3444,3336,0.4,48,54,29,0.9,4,2108,0.08,0
Mozambique,3423,3420,0.4,2,5,106,0.1,2,8317,0.13,9
Lebanon,3272,3272,0.4,10,-20,77,0.2,8,4136,0.21,13.3
Guinea-Bissau,3137,3137,0.3,11,-10,175,0.01,1,5379,0.27,20
Greece,2291,1350,0.2,22,18,41,0.6,17,2727,0.16,0
Luxembourg,2252,2183,0.2,5,8,88,0.2,1,1688,0.13,0
Czech Republic,2248,552,0.2,5,23,32,0.8,2,1980,0.13,0
Israel,2178,2150,0.2,7,-10,28,1,2,4054,0.18,0
Senegal,1944,1944,0.2,15,-2,94,0.1,4,8301,0.21,20
Saudi Arabia,1898,1898,0.2,-9,61,21,1.4,-9,5302,0.17,5
Lithuania,1716,1661,0.2,2,38,70,0.3,2,1767,0.14,0
China,1684,-31075,0.2,-7,40,6,2.4,-3,5340,0.11,7.7
Japan,1612,1274,0.2,6,8,11,2,-2,4639,0.19,0
"Hong Kong, China",1589,1381,0.2,4,116,51,0.4,-1,2934,0.38,0
Mexico,1541,1538,0.2,-6,-10,10,2.1,17,9495,0.19,4.4
Türkiye,1303,276,0.1,25,65,27,1.1,17,4525,0.19,0
Bulgaria,1232,1101,0.1,2,-31,55,0.4,8,2091,0.1,0
Guinea,1193,1193,0.1,50,61,90,0.2,9,9036,0.37,20
India,1180,-12426,0.1,40,3,14,1.8,17,5086,0.29,9.4
Tunisia,1066,1064,0.1,-1,-26,99,0.1,9,3461,0.24,0
Nigeria,1050,1050,0.1,36,95,75,0.2,0,10355,0.66,20
Malaysia,1029,1024,0.1,28,586,23,1.3,16,6014,0.38,21.9
Estonia,999,994,0.1,8,3,111,0.1,4,2950,0.09,0
Dominican Republic,977,977,0.1,11,-29,45,0.5,10,9289,0.22,9.1
Cyprus,927,926,0.1,-9,1,80,0.2,12,2829,0.24,0
Singapore,896,891,0.1,2,35,31,0.9,19,5170,0.17,0
Croatia,840,840,0.1,50,36,49,0.4,11,1376,0.16,0
Qatar,812,808,0.1,-4,-79,68,0.3,-5,4234,0.15,5
Kuwait,724,724,0.1,2,35,57,0.4,4,4047,0.29,5
Ecuador,673,673,0.1,39,42,74,0.2,11,7997,0.17,16.5
Cuba,646,646,0.1,19,-33,145,0.04,7,7862,0.17,8.3
"Venezuela, Bolivarian Republic of",646,644,0.1,21,-12,96,0.1,23,11415,0.29,14.8
Sao Tome and Principe,634,634,0.1,-1,6,200,0,1,7408,0.35,9.6
Latvia,595,595,0.1,8,-2,112,0.1,0,2104,0.1,0
Côte d'Ivoire,522,514,0.1,-30,8,72,0.2,9,3366,0.4,20
Azerbaijan,465,465,0.1,135,41,78,0.2,8,3117,0.15,15.4
Malta,454,454,0,9,36,124,0.08,5,2174,0.24,0
Jordan,445,444,0,-7,-25,65,0.3,-2,4206,0.25,0
Benin,435,435,0,-4,-7,135,0.05,7,5540,0.13,20
New Zealand,415,414,0,-10,-33,71,0.2,-5,11788,0.32,4.2
Slovakia,406,405,0,-14,-67,53,0.4,7,2022,0.14,0
Peru,404,403,0,38,349,46,0.5,2,14364,0.44,0.8
Gibraltar,399,399,0,162,23,190,0,2,529,0.7,
"Macao, China",394,394,0,51,9,133,0.06,5,,0.42,0
Curaçao,390,390,0,28,482,163,0.02,20,,0.16,
Colombia,390,372,0,5,-34,52,0.4,6,12200,0.25,1
Hungary,368,-1158,0,7,-30,44,0.6,2,1712,0.1,0
Russian Federation,362,360,0,-49,14,13,1.9,0,4248,0.37,10.7
Panama,352,348,0,13,-19,91,0.2,11,9790,0.21,8.5
Guatemala,344,343,0,166,-46,63,0.3,16,8993,0.17,8
Iraq,320,320,0,-1,-5,30,0.9,-1,4845,0.36,
Chile,297,297,0,8,6,43,0.6,-2,12645,0.29,0
Slovenia,297,275,0,1,4,69,0.3,4,1636,0.14,0
Argentina,296,291,0,10,-82,67,0.3,7,8993,0.22,14.6
Mauritius,291,291,0,38,167,126,0.07,8,7469,0.17,0
French Polynesia,289,289,0,-1,10,178,0.01,-3,14667,,6
Costa Rica,262,262,0,17,-2,79,0.2,12,9393,0.2,3.6
Ghana,246,246,0,-19,-28,62,0.3,1,9836,0.52,20
Paraguay,244,244,0,38,146,82,0.2,9,3553,0.69,12.6
