Code,Product label,Value exported in 2024 (USD thousand),Trade balance 2024 (USD thousand),"Annual growth in value between 2020-2024 (%, p.a.)","Annual growth in quantity between 2020-2024 (%, p.a.)","Annual growth in value between 2023-2024 (%, p.a.)","Annual growth of world imports between 2020-2024 (%, p.a.)",Share in world exports (%),Ranking in world exports,Average distance of importing countries (km),Concentration of importing countries
'TOTAL,All products,83013954,-29630637,7,,-1,7,0.3,43,2432,0.11
'6907,"Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether ...",278188,166590,3,,-10,2,1.5,9,2478,0.15
'6912,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",266324,250119,3,-3,1,4,11.3,2,3370,0.11
'6910,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",162260,90569,4,-1,-3,1,1.8,9,1619,0.3
'6913,"Statuettes and other ornamental ceramic articles, n.e.s.",85515,74546,3,1,2,1,3.6,4,2791,0.11
'6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china ...",57812,39265,6,1,-8,6,0.7,12,2863,0.1
'6914,"Ceramic articles, n.e.s.",37818,15939,15,8,2,4,1.6,11,2466,0.27
'6905,"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ...",13939,8719,1,-12,-24,-1,1.9,12,3328,0.13
'6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excl. ...",11995,-15561,21,14,-2,6,0.3,26,2598,0.13
'6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like (excl. those ...",2527,-3887,15,3,-23,6,0.1,38,1467,0.3
'6903,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods, ...",1448,-10279,92,73,69,5,0.1,42,2484,0.5
'6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ...",792,-11712,37,97,69,5,0,47,1719,0.33
'6906,"Ceramic pipes, conduits, guttering and pipe fittings (excluding of siliceous fossil meals or ...",253,33,195,32,450,0,0.3,17,1949,0.85
'6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",115,-8625,-11,-23,-68,5,0.1,43,2141,0.39
