Exporters,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024
World,30170145,34034825,38542422,41774454,34096950,39391169,45171922,47625601,51829452,56220964,57264266,50656361,53285878,58596668,60074911,58743550,72511803,76102142,67395348,61340340
China,5037375,6291310,6644249,8036907,8060552,11099766,14052567,16745943,19162590,21978517,26337294,19420436,19997449,22369944,25119909,25113297,30695409,32475449,26502088,22019064
Italy,5182802,5596565,6226327,6319635,4764249,4805574,5185801,4877837,5287620,5560389,4893602,5175168,5448156,5635715,5311829,5276935,6452780,6613314,5818235,5732737
Spain,3024482,3262658,3706104,3862601,2791871,2773694,3138418,3144901,3468676,3598397,3176086,3384627,3610953,3863870,3778033,3938269,5150524,5575809,4756970,4510463
Germany,2780006,3160808,3809001,4443540,3498483,3585469,4020134,3693214,3802281,3904860,3385249,3479757,3664030,4127718,4130881,3689172,4491674,4413250,4278302,4212329
India,118546,142423,184453,214559,201038,301481,363804,435099,559327,768628,894544,1047761,1242013,1520500,1819321,1999113,2314625,2443914,3052854,2750897
United States of America,1061573,1162208,1410914,1451847,1193217,1523913,1734983,1714202,1765422,1899719,1814240,1730277,1928869,2054613,2103967,1804631,2291792,2488620,2329982,2235064
Poland,494505,718101,930964,1081675,802548,917372,1067784,978106,1122233,1162823,1055976,1066752,1173069,1335790,1022220,1045702,1316015,1762316,1774508,1777439
Japan,1208134,1351576,1566892,1407564,1027402,1407392,1496505,1355627,1439623,1574241,1511446,1517262,1597579,1739106,1615455,1473269,1831989,1812965,1674225,1709795
Mexico,776974,913378,940195,987861,780762,907876,950408,1093027,1208200,1325483,1385209,1289566,1275554,1308196,1284363,1181821,1492753,1574474,1598078,1559299
Türkiye,683485,692766,823184,868880,675845,787063,882715,954301,1004692,1025223,875405,885159,969798,1079015,1166848,1247543,1616311,1858570,1384254,1380163
Belgium,552210,614423,787468,826547,642869,672484,803220,734494,792567,877883,757896,751105,790630,935045,881493,832290,1091970,1173882,1015987,982589
Portugal,682415,751775,883406,896278,734645,725512,778372,745575,796369,840186,731771,777139,805659,933195,792364,755477,961782,1015269,959512,918983
Netherlands,384731,406209,447492,484562,389165,403595,530180,505116,542231,569474,514154,565028,639612,727885,705826,768174,1034080,1073036,969374,915652
France,1085396,1119708,1211386,1229599,969014,966649,1077805,950895,880475,895955,762373,772994,779308,834432,763249,708626,832644,920442,919306,848905
