Exporters,Value exported in 2024 (USD thousand),Trade balance in 2024 (USD thousand),Annual growth in value between 2020-2024 (%),Annual growth in value between 2023-2024 (%),Share in world exports (%),Average distance of importing countries (km),Concentration of importing countries
World,61136360,6184648,0,-8,100,4906,0.03
China,22019064,20699825,-4,-17,36,7027,0.03
Italy,5732737,4416317,1,-1,9.4,3353,0.06
Spain,4510463,3724130,2,-5,7.4,3880,0.05
Germany,4023395,1130445,2,-4,6.6,2450,0.05
India,2750897,1788887,10,-10,4.5,6775,0.03
United States of America,2235064,-5902053,5,-4,3.7,6892,0.09
Poland,1777439,630389,15,0,2.9,2063,0.12
Japan,1709795,611304,2,2,2.8,5990,0.13
Mexico,1559299,421197,9,-2,2.6,2053,0.76
Türkiye,1380163,766021,0,0,2.3,3032,0.04
Belgium,982589,-88289,3,-3,1.6,842,0.21
Portugal,918983,595711,4,-4,1.5,2648,0.1
Netherlands,915652,-17951,3,-6,1.5,1395,0.1
France,848905,-1514575,5,-8,1.4,3381,0.05
Thailand,752119,5807,3,2,1.2,7514,0.11
Czech Republic,688325,223132,3,-2,1.1,1565,0.08
Viet Nam,669852,244431,3,10,1.1,7046,0.12
United Kingdom,540669,-1619985,2,-6,0.9,4031,0.08
Brazil,485237,129258,2,-7,0.8,4818,0.13
Austria,459541,-231350,5,2,0.8,3276,0.09
Hungary,445538,139016,-2,1,0.7,2618,0.07
"Korea, Republic of",372417,-1206245,-1,-9,0.6,4396,0.13
Malaysia,312537,-413778,7,31,0.5,5996,0.14
Indonesia,299574,-405729,-1,10,0.5,7030,0.1
Denmark,274928,-82941,0,5,0.4,1810,0.08
Egypt,273284,90641,-4,-9,0.4,2413,0.08
United Arab Emirates,265686,-622910,-4,-14,0.4,4023,0.09
Bulgaria,244691,36406,4,-3,0.4,1288,0.11
Russian Federation,191341,-830611,-10,-1,0.3,1850,0.5
Switzerland,187483,-460309,6,5,0.3,5071,0.25
Sweden,177750,-206924,1,-4,0.3,1207,0.16
"Iran, Islamic Republic of",176822,101763,26,-11,0.3,1421,0.14
Romania,173293,-335458,2,3,0.3,1337,0.12
Saudi Arabia,168527,-589103,65,40,0.3,2325,0.09
"Taipei, Chinese",152114,-620815,2,16,0.2,4337,0.17
South Africa,131820,-238937,-6,-11,0.2,3580,0.08
Ghana,129571,-49181,24,-4,0.2,998,0.39
Serbia,122421,-30253,13,-3,0.2,430,0.14
Peru,107562,-165224,7,4,0.2,2605,0.18
Uzbekistan,102660,-77056,26,27,0.2,1175,0.29
Colombia,102058,-125036,11,2,0.2,2742,0.13
