Importers,Value imported in 2024 (USD thousand),Trade balance in 2024 (USD thousand),Annual growth in value between 2020-2024 (%),Annual growth in value between 2023-2024 (%),Share in world imports (%),Average distance of supplying countries (km),Concentration of supplying countries,Average tariff (estimated) applied by the country (%)
World,54951712,6184648,3,0,100,5184,0.13,
United States of America,8137117,-5902053,5,2,14.8,8618,0.15,4.4
Germany,2892950,1130445,-3,-4,5.3,3649,0.1,1.9
France,2363480,-1514575,2,-7,4.3,2429,0.13,1.9
United Kingdom,2160654,-1619985,6,8,3.9,3731,0.1,1.3
"Korea, Republic of",1578662,-1206245,0,-2,2.9,3850,0.3,4.5
China,1319239,20699825,-3,-7,2.4,5340,0.11,11.9
Italy,1316420,4416317,10,0,2.4,2926,0.09,1.9
Canada,1194601,-1098393,3,0,2.2,7015,0.18,2.1
Poland,1147050,630389,4,11,2.1,3621,0.14,1.9
Mexico,1138102,421197,17,7,2.1,9495,0.19,8.4
Japan,1098491,611304,-2,-5,2,4639,0.19,0.4
Belgium,1070878,-88289,2,-5,1.9,3836,0.08,1.9
Russian Federation,1021952,-830611,0,-1,1.9,4248,0.37,10.2
India,962010,1788887,17,2,1.8,5086,0.29,10.5
Netherlands,933603,-17951,-6,3,1.7,3698,0.13,1.9
United Arab Emirates,888596,-622910,-2,-6,1.6,4766,0.23,4.5
Australia,849430,-797899,2,13,1.5,10132,0.42,2.1
Philippines,811617,-777812,3,-8,1.5,2738,0.56,8
Spain,786333,3724130,5,7,1.4,3994,0.13,1.9
"Taipei, Chinese",772929,-620815,3,9,1.4,4489,0.16,9.4
Saudi Arabia,757630,-589103,-9,3,1.4,5302,0.17,7.5
Thailand,746312,5807,3,-2,1.4,3632,0.29,17.9
Malaysia,726315,-413778,16,37,1.3,6014,0.38,16.2
Indonesia,705303,-405729,8,1,1.3,4694,0.67,15.5
Austria,690891,-231350,1,-7,1.3,1765,0.2,1.9
Switzerland,647792,-460309,-1,-7,1.2,1759,0.21,0
Türkiye,614142,766021,17,2,1.1,4525,0.19,2.9
Israel,531423,-499955,2,-5,1,4054,0.18,...
Romania,508751,-335458,4,5,0.9,2108,0.08,1.9
Iraq,493573,-493537,-1,-9,0.9,4845,0.36,...
Singapore,467645,-395903,19,31,0.9,5170,0.17,0
Czech Republic,465193,223132,2,1,0.8,1980,0.13,1.9
"Macedonia, North",433524,-425192,0,-9,0.8,2761,0.2,12
Kazakhstan,430262,-401370,7,-2,0.8,2794,0.24,9
Viet Nam,425421,244431,0,8,0.8,2972,0.46,26.6
Sweden,384674,-206924,-2,-6,0.7,2234,0.09,1.9
South Africa,370757,-238937,-1,-5,0.7,9112,0.15,10.8
Morocco,368327,-271156,7,16,0.7,3280,0.24,19.8
Denmark,357869,-82941,0,11,0.7,3428,0.09,1.9
Brazil,355979,129258,11,10,0.6,13012,0.18,13.8
Greece,339522,-281180,17,10,0.6,2727,0.16,1.9
Portugal,323272,595711,10,-2,0.6,2248,0.38,1.9
Chile,308834,-305213,-2,0,0.6,12645,0.29,3.2
Hungary,306522,139016,2,16,0.6,1712,0.1,1.9
