Product code,Product label,"imported value in 2005, US Dollar thousand","imported value in 2006, US Dollar thousand","imported value in 2007, US Dollar thousand","imported value in 2008, US Dollar thousand","imported value in 2009, US Dollar thousand","imported value in 2010, US Dollar thousand","imported value in 2011, US Dollar thousand","imported value in 2012, US Dollar thousand","imported value in 2013, US Dollar thousand","imported value in 2014, US Dollar thousand","imported value in 2015, US Dollar thousand","imported value in 2016, US Dollar thousand","imported value in 2017, US Dollar thousand","imported value in 2018, US Dollar thousand","imported value in 2019, US Dollar thousand","imported value in 2020, US Dollar thousand","imported value in 2021, US Dollar thousand","imported value in 2022, US Dollar thousand","imported value in 2023, US Dollar thousand","imported value in 2024, US Dollar thousand"
'6907,"Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether ...",2021530,2509113,3005296,3631600,3059693,3722918,3987563,4305697,4639606,4702974,4212523,3955752,15066794,16574495,15986906,15851496,20552824,22048925,19273576,18322993
'6910,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",3637604,4152110,4889982,5096000,4081491,4591577,4834696,4984178,5215181,5451831,5259534,5219199,5652146,6218260,6349154,6293097,7830548,7983751,7071938,7409936
'6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ...",1587337,1927599,2571987,2987765,2288282,3410597,4571528,4093604,4343161,5191442,5031568,4889251,5373153,6116191,5992844,5444938,7103627,7198579,6956729,6906554
'6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china ...",2864622,3020034,3445511,3684401,3012638,3482274,3877967,3858011,3632568,3876585,3766377,3691339,3847496,3950596,3969728,3289347,4049452,4625996,4290903,4638113
'6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excl. ...",2928753,3286909,3926343,4606138,3554016,3985255,4504489,4414108,4129538,4152071,3579954,3251218,3535321,4583748,4399446,3671001,4182798,5200654,4958800,4533472
'6912,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",2614978,2697970,2899379,2889841,2339707,2951563,2975769,2983298,2969023,3218047,3077280,2989482,3208770,3536902,3489698,3178947,4384995,4619429,3777726,3983997
'6903,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods, ...",1386849,1571444,1915206,2055513,1462442,1943637,2283203,2156243,2110428,2217749,1903475,1881917,2089435,2333623,2175199,1993760,2549738,2703610,2564861,2497830
'6914,"Ceramic articles, n.e.s.",999053,1173183,1221292,1253563,1085556,1271899,1285991,1225877,1284964,1329382,1239007,1314959,1427571,1531646,1493532,1553614,2196373,2332875,1876721,2080756
'6913,"Statuettes and other ornamental ceramic articles, n.e.s.",1799290,1775252,1950158,1938297,1484313,1649449,1690188,1518065,1507435,1522270,1443273,1384930,1413248,1594472,1633008,1517938,2128874,2383669,1692208,1845193
'6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like (excl. those ...",562872,684261,929214,962932,712961,657390,716073,754298,824722,898735,737891,769009,893918,967135,1029731,1084381,1293364,1479044,1240497,1464000
'6905,"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ...",572369,674151,851420,943714,723410,699180,817075,763481,782343,789591,679032,692356,672098,756954,683383,705126,814417,845115,726556,693870
'6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",180991,185437,193874,218500,168640,145647,155760,151088,186117,177483,195619,133603,203521,273178,344632,249671,240659,225822,218481,262491
'6906,"Ceramic pipes, conduits, guttering and pipe fittings (excluding of siliceous fossil meals or ...",162399,194344,206444,211221,141671,154058,180673,180390,179622,186988,179449,157011,147072,154882,122578,120340,134517,124283,132116,121791
'6908,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",9594865,10544279,11592030,12152001,9905923,10756571,11584252,12168013,13033139,13070103,12506458,12685668,1883676,1130226,1012941,712523,130158,109590,86230,70044
