Importers,Imported value in 2019-Q1,Imported value in 2019-Q2,Imported value in 2019-Q3,Imported value in 2019-Q4,Imported value in 2020-Q1,Imported value in 2020-Q2,Imported value in 2020-Q3,Imported value in 2020-Q4,Imported value in 2021-Q1,Imported value in 2021-Q2,Imported value in 2021-Q3,Imported value in 2021-Q4,Imported value in 2022-Q1,Imported value in 2022-Q2,Imported value in 2022-Q3,Imported value in 2022-Q4,Imported value in 2023-Q1,Imported value in 2023-Q2,Imported value in 2023-Q3,Imported value in 2023-Q4
China,2767211,1724406,2335974,2462330,2172064,1757530,1888448,2332780,2447253,2302653,2563274,2480044,2145958,1698692,2095400,1652300,1644640,1768407,2355771,2101857
Russian Federation,1101500,1128240,1602370,1692010,1753500,1360990,1986780,2380560,1317410,1427430,1889760,2150790,1564810,2013810,1584940,2195170,1315120,1506970,1177760,2007550
Japan,2095544,1753769,1740817,1755539,1753051,1341487,1166751,1270668,1049041,1533889,1407890,1527554,1443365,1484307,1442315,1144988,1447318,1478139,1942157,1680565
United Kingdom,760514,714576,787524,1200426,1315591,1419820,1136746,1249465,1206127,1501735,1354335,1508479,1273266,1284390,1106569,1188723,1058526,1236531,1475244,1466642
Netherlands,,,,,631825,598067,725893,782541,525314,616187,729676,758158,723486,640921,755220,962349,969998,1131138,1050343,1088004
"Taipei, Chinese",357000,319000,387000,421000,406000,335000,261000,498000,540000,385000,441000,700000,823000,553000,929000,820000,923000,576000,1034000,977000
France,469413,423597,397920,425215,407975,450093,721005,540987,503921,565333,568149,651803,598469,650775,636733,725404,590234,668981,654564,764870
"Korea, Republic of",668700,763200,693200,752100,398000,293200,278200,424600,555400,408200,359300,566700,480000,636400,703300,755100,540600,696900,505700,707400
Sweden,424600,492379,489333,583483,337556,335301,337283,448146,363602,475472,482147,516996,394492,607932,377481,452271,342702,483631,386978,442910
United States of America,359000,335000,340000,327000,294000,222000,237000,255000,311000,276000,245000,348000,251000,287000,234000,222000,217000,239000,295000,279000
Canada,97809,97206,98430,98489,139858,135707,141183,144233,280356,288851,281460,281975,262920,261146,254967,245128,242666,244218,244531,240544
Singapore,124087,112084,120340,118601,178326,85399,89851,139240,135681,156390,150776,146548,157891,134142,145034,152597,166683,145023,155968,177573
Indonesia,105620,100400,91840,198780,84200,111230,104030,108540,104200,118350,138720,108400,117330,119600,142190,186430,123020,158010,155060,135870
"Macedonia, North",45810,4590,33430,12220,4250,9840,11910,16980,2180,16510,2340,11950,12650,17030,11560,23920,14940,196350,45100,60420
Spain,29530,32587,28911,28785,34182,27535,33898,38173,27711,34969,48331,28588,35894,35134,31216,38780,43993,32660,34830,37629
New Zealand,6133,5966,11023,8369,4439,3701,9265,4111,,7868,4903,11812,10810,10411,6136,6618,11345,9899,16931,12070
Pakistan,296000,185000,10000,10000,51000,6000,0,0,0,2000,29000,6000,4000,1000,0,0,0,15000,1000,7000
Rwanda,2510,2303,2396,1967,1947,452,471,389,611,416,6324,6227,4351,4122,4762,4656,3759,6227,15037,5593
Montenegro,10539,14537,8237,9895,6402,4850,3872,7283,4044,5858,4630,7543,4350,10141,6435,6942,6073,4115,4986,4737
Brazil,295,1273,66,504,190,15,3104,65,3233,55,1766,1893,147,293,304,673,237,757,195,1264
Solomon Islands,467,464,16605,107,0,146,45,259,74,385,227,304,0,145,57,67,6,790,349,376
Vanuatu,159,121,138,143,106,143,131,135,126,113,99,104,100,125,109,99,96,96,96,96
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,166958,196648,210157,223635,184144,163009,211573,225458,167474,203788,212184,221844,190686,196961,233615,247986,184557,207938,230749,
Bahamas,10900,10900,12737,23869,5225,7233,14390,32116,22491,26930,21928,32116,25570,26930,32160,32116,20632,17130,,
Bangladesh,151338,133786,99053,119845,283434,122967,104034,187558,94020,294924,129129,261358,55497,191044,50832,119692,73868,111937,83148,
Armenia,1674,4893,9228,21894,4744,4302,3704,4273,7154,9141,10179,17049,8667,4509,9089,13779,3819,8133,28785,
Belgium,770053,728158,776136,929969,733270,751164,693164,817135,718089,683714,703743,848496,736947,784649,781401,833764,768272,777317,840274,
