Exporters,Value exported in 2024 (USD thousand),Trade balance in 2024 (USD thousand),Annual growth in value between 2020-2024 (%),Annual growth in value between 2023-2024 (%),Share in world exports (%),Average distance of importing countries (km),Concentration of importing countries
World,23785385914,-331294703,7,2,100,4851,0.04
China,3575457663,988162431,7,6,15,6678,0.04
United States of America,2064516772,-1294793613,9,2,8.7,6640,0.07
Germany,1684013664,258804086,4,0,7.1,3077,0.04
Netherlands,722294257,86885704,6,-2,3,2223,0.08
Japan,707995434,-35272022,1,-2,3,6158,0.09
"Korea, Republic of",683691488,51593473,6,8,2.9,5717,0.09
Italy,674873608,59274509,7,0,2.8,3157,0.05
"Hong Kong, China",640570014,-58336899,1,11,2.7,3107,0.36
France,626943857,-113868609,7,-2,2.6,2999,0.06
Mexico,618982287,-6891951,10,4,2.6,2610,0.66
Canada,569244052,14980798,9,0,2.4,2896,0.59
Belgium,549570742,30484973,6,-3,2.3,2087,0.08
United Kingdom,512910100,-302669139,6,-1,2.2,4157,0.06
Singapore,504878086,47265508,7,6,2.1,4782,0.07
"Taipei, Chinese",474618994,80556210,6,10,2,5354,0.12
Switzerland,446846629,77187034,8,6,1.9,4319,0.07
India,441700612,-261072864,11,2,1.9,6889,0.05
Russian Federation,404110009,195613810,4,-2,1.7,4421,0.15
Spain,403702939,-47600195,6,-4,1.7,2784,0.06
Viet Nam,403240726,24111259,8,14,1.7,7720,0.12
Poland,380333187,837117,10,0,1.6,1565,0.1
Australia,345858240,61393436,7,-7,1.5,8824,0.14
Brazil,337046162,74176556,12,-1,1.4,11508,0.1
Malaysia,330045621,29964246,8,5,1.4,5472,0.07
United Arab Emirates,320198927,-19893185,17,3,1.3,4945,0.08
Saudi Arabia,305358131,73329991,14,-5,1.3,3730,0.06
Thailand,299249160,-10906005,6,7,1.3,6322,0.07
Indonesia,264703354,31044696,11,2,1.1,6270,0.09
Türkiye,261801501,-82215771,10,2,1.1,3034,0.03
Czech Republic,259292432,29895470,7,2,1.1,1320,0.13
Ireland,242218972,97666765,6,14,1,3907,0.14
Austria,206422771,2019317,6,-5,0.9,2222,0.11
Sweden,195760255,6787140,5,-1,0.8,2763,0.05
Norway,168052921,69322884,16,-5,0.7,1850,0.09
Hungary,167705355,16074558,8,6,0.7,1659,0.09
Denmark,133702132,10485924,5,4,0.6,2516,0.07
Slovakia,111710551,657641,6,-5,0.5,1485,0.09
South Africa,110390555,9146598,4,0,0.5,7728,0.05
Iraq,109844643,57085863,15,1,0.5,5278,0.21
Chile,103312004,23623735,9,3,0.4,13821,0.17
Romania,100370882,-36148482,9,0,0.4,1715,0.07
Qatar,95044153,59242129,14,-3,0.4,5209,0.09
Portugal,83013954,-29630637,7,-1,0.3,2432,0.11
Kazakhstan,81618417,21831106,15,4,0.3,3888,0.11
Argentina,79720583,18898609,6,20,0.3,9375,0.06
Finland,78154637,-2259031,4,-5,0.3,3323,0.05
Kuwait,75991428,37884691,17,-10,0.3,2466,
Peru,74664216,19637649,16,16,0.3,11962,0.15
Philippines,72983914,-61898521,2,0,0.3,5551,0.09
Slovenia,66635686,-8433516,15,12,0.3,1015,0.15
Oman,63017504,19550660,17,7,0.3,6222,
Bangladesh,60622888,-6934174,9,6,0.3,8084,0.07
Israel,60255025,-31597215,4,2,0.3,6650,0.11
Nigeria,53796445,11706210,13,-11,0.2,6430,0.05
Greece,53357149,-35916011,10,-3,0.2,2359,0.04
Colombia,49551988,-14552696,12,0,0.2,6155,0.11
Algeria,47388301,3090278,22,-14,0.2,3097,0.12
Bulgaria,46647243,-7159114,9,-3,0.2,1838,0.06
Morocco,45918428,-30683057,12,8,0.2,3189,0.1
Egypt,44846871,-49851100,9,5,0.2,3094,0.04
New Zealand,42419411,-4476514,2,7,0.2,10259,0.1
Ukraine,40409549,-30086067,-10,12,0.2,2530,0.04
Lithuania,39819068,-4927472,4,-7,0.2,1781,0.05
Angola,39250263,25304284,15,1,0.2,9290,0.2
Ecuador,34420386,4930774,13,11,0.1,7718,0.1
Pakistan,32460566,-24062102,8,12,0.1,6256,0.06
Uzbekistan,31856439,-23667886,24,52,0.1,2394,
Serbia,31115484,-10997249,12,1,0.1,1597,0.05
"Libya, State of",29971776,9477110,30,-11,0.1,2691,0.11
"Congo, Democratic Republic of the",29303994,17522911,26,48,0.1,9819,0.55
Cambodia,26664502,-2046003,12,12,0.1,8787,0.17
Azerbaijan,26554057,5496013,19,-22,0.1,2739,0.2
Croatia,26062785,-19424083,10,6,0.1,1083,0.07
Guyana,22414584,15204036,66,107,0.1,6441,0.09
Tunisia,21201650,455516,11,-1,0.1,2476,0.13
Côte d'Ivoire,20548862,3329559,13,12,0.1,5471,0.06
Latvia,20386893,-3108650,7,-1,0.1,1614,0.07
Bahrain,19916041,4299106,12,0,0.1,3674,0.18
Costa Rica,19882386,-3801378,14,10,0.1,4737,0.25
Estonia,19773052,-2898584,2,-2,0.1,1733,0.06
Ghana,16626624,-4521785,7,11,0.1,6615,0.11
Mongolia,15765101,4156725,22,4,0.1,2067,0.84
Luxembourg,15635537,-9272125,3,-4,0.1,1399,0.11
Myanmar,14923806,2471677,-3,1,0.1,4007,0.11
Guatemala,14588300,-17900559,6,3,0.1,3085,0.15
Turkmenistan,13863207,9902322,71,-9,0.1,4166,0.5
Papua New Guinea,13761376,7169296,6,39,0.1,5578,0.14
"Venezuela, Bolivarian Republic of",13647572,-1687959,33,83,0.1,7749,0.26
"Iran, Islamic Republic of",13587364,-9937946,2,8,0.1,3316,0.16
Panama,13181447,-13505187,9,-21,0.1,2804,0.05
Armenia,13028124,-3779647,54,56,0.1,3010,0.25
Dominican Republic,12923946,-19778412,6,8,0.1,4623,0.36
Lao People's Democratic Republic,12602626,2607186,15,22,0.1,3220,0.22
Sri Lanka,12023926,-6580987,1,3,0.1,8725,0.08
Zambia,11275830,7815,6,7,0,6494,0.24
Brunei Darussalam,11258495,3963958,12,0,0,3623,0.12
Paraguay,10800832,-5762170,6,-9,0,3810,0.21
Jordan,10624147,-12252201,10,-2,0,5903,0.16
Uruguay,10248403,-2274339,7,12,0,8695,0.11
Guinea,9683549,1856516,16,8,0,11732,0.63
"Bolivia, Plurinational State of",9059167,-845020,5,-17,0,9502,0.08
Bosnia and Herzegovina,8893857,-6959423,8,-4,0,920,0.09
"Tanzania, United Republic of",8702028,-6982481,9,20,0,4508,0.12
Congo,8550539,3818979,9,-7,0,9456,0.26
"Macedonia, North",8423005,-3543607,6,-6,0,1249,0.18
Kenya,8255798,-11947324,7,14,0,4694,0.05
Mozambique,8211289,-1001373,25,-1,0,7053,0.1
Uganda,8039344,-5793581,20,28,0,4349,0.13
Trinidad and Tobago,7910706,241140,7,1,0,5074,0.18
Gabon,7889768,5067203,10,8,0,9363,0.18
Nicaragua,7521852,-3946039,10,2,0,3332,0.26
Zimbabwe,7434140,-2133439,13,3,0,5203,0.24
Cameroon,7288215,-1177337,12,21,0,6926,0.09
Honduras,6970520,-7538040,12,-3,0,3688,0.24
Belarus,6953154,-9893092,-18,-10,0,3718,0.11
Iceland,6950792,-2882655,10,5,0,3027,0.15
Namibia,6527693,-2297299,6,14,0,5625,0.11
El Salvador,6447499,-9525139,6,-1,0,1961,0.19
Senegal,6310485,-5078594,12,19,0,5238,0.09
Burkina Faso,5643753,-790879,4,26,0,4518,0.39
Free Zones,4906441,1586881,14,7,0,,0.5
Equatorial Guinea,4508148,3485556,7,-12,0,8314,0.11
Cyprus,4496011,-8925939,10,-11,0,3088,0.07
Mauritania,4149553,-668337,9,2,0,7162,0.16
Albania,4001154,-5603105,13,-9,0,1199,0.22
Botswana,3919198,-3194856,-4,-32,0,6497,0.14
Malta,3782094,-5664574,7,9,0,4261,0.07
Kyrgyzstan,3740191,-8167062,22,10,0,3332,0.2
"Moldova, Republic of",3555062,-5510126,10,-12,0,1164,0.14
Chad,3490592,2264260,23,5,0,6186,0.19
Ethiopia,3418177,-4589101,5,11,0,6486,0.07
Georgia,3194208,-9877877,4,5,0,2657,0.08
Sudan,3097490,-885531,11,-19,0,,0.15
Madagascar,2557063,-2246662,7,-21,0,9584,0.09
Liberia,2431533,-27147598,21,15,0,6454,0.16
Eswatini,2244290,84890,3,3,0,1831,0.45
Lebanon,2127210,-11665358,-8,-10,0,4076,0.05
Tajikistan,1923357,-4898435,11,-21,0,3217,0.13
Marshall Islands,1836234,-15590473,14,78,0,12249,0.31
Mauritius,1753473,-5048219,4,-6,0,7696,0.07
Faroe Islands,1681003,28224,12,-4,0,3108,0.11
Afghanistan,1629298,-4692411,7,1,0,1735,0.33
Greenland,1574341,521024,6,-6,0,5028,0.28
Sierra Leone,1533352,-581916,26,6,0,10483,0.42
Suriname,1484158,-266412,6,-36,0,6606,
Cuba,1425917,-3016246,-4,-14,0,10184,0.16
New Caledonia,1383591,-414912,-5,-43,0,8898,0.31
Togo,1366135,-1855449,10,-6,0,3736,0.08
Jamaica,1277641,-5511386,7,10,0,5210,0.13
