Importers,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
World,2021530,2509113,3005296,3631600,3059693,3722918,3987563,4305697,4639606,4702974,4212523,3955752,15066794,16574495,15986906,15851496,20552824,22048925,19273576,18322993
United States of America,204652,217266,221694,220267,124658,146119,179141,208005,230535,268198,288931,281715,2087464,2149063,2009630,1874598,2304711,2787632,2373136,2274167
France,208130,227901,274369,326545,290381,290616,292329,250838,258998,262770,216848,253754,1064174,1082156,1041691,1030722,1268116,1295587,1216869,1103219
Germany,130460,147387,160728,168369,139950,154687,184966,196366,213030,237251,211000,252527,807127,846019,790135,887183,1014334,1077064,823634,740621
United Kingdom,89798,99289,130913,134804,97149,88579,102711,88105,119805,120537,106541,103808,462039,439134,466825,424615,526002,902797,704866,689973
Philippines,2649,1563,2342,3178,5701,9220,11796,9646,4631,9542,19792,20187,102363,215710,229912,139965,766787,727385,623820,528380
"Korea, Republic of",16487,21414,35423,44087,49494,42974,43438,40722,46250,55321,54950,62425,386498,390070,356996,360749,441062,467126,446713,458144
Israel,18603,19495,22642,24421,21686,23422,24615,34046,43380,48395,41581,46633,316126,320908,305369,346554,475769,610268,423012,405674
United Arab Emirates,16199,,17155,24237,,,,27355,28946,30165,39936,37069,209790,218878,231407,232451,251422,284026,317343,383264
Australia,27060,32830,36612,32194,40806,75113,67370,58071,63199,75972,73175,76551,356119,358537,301339,299448,332927,341079,317355,365436
Russian Federation,66651,96793,119888,145026,65274,96520,154783,219743,273491,222990,101171,64293,368458,383403,376775,351035,461973,277295,317350,355120
Mexico,23820,36962,63223,77597,42561,54640,71162,77020,86081,104170,91161,75874,89227,74236,84295,52719,282999,262794,267027,312552
Canada,38329,43783,50241,62977,48523,64429,64591,68642,71118,70299,72984,70894,349484,336247,284893,273148,342986,368792,300536,293668
Belgium,84044,95755,114756,135307,121730,120862,125118,106344,108603,112834,86022,92206,267815,286283,280649,316921,395723,403230,279461,290450
Thailand,12759,20512,40120,59995,70911,116764,130347,173165,223694,175820,175807,151859,253337,272196,271035,244581,276278,297378,284389,279229
Saudi Arabia,2442,5299,12021,31808,37625,52372,58003,68695,86197,99899,123446,117158,587062,530081,514452,725021,589023,519680,317402,271209
