Importers,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
World,3637604,4152110,4889982,5096000,4081491,4591577,4834696,4984178,5215181,5451831,5259534,5219199,5652146,6218260,6349154,6293097,7830548,7983751,7071938,7409936
United States of America,873193,962366,1005471,944163,735666,843493,812655,897106,1014077,1037069,1148856,1111445,1184755,1351067,1385461,1387451,1734166,1856852,1463907,1725376
Germany,210128,234645,260992,272133,251087,270686,314557,288522,316459,340329,319552,359953,411559,438388,429024,445998,550861,512435,422161,431140
France,205119,221183,245278,276566,243800,266530,314715,295848,288902,286582,242090,249002,274440,291776,314335,304938,376173,330524,335570,297801
United Kingdom,289899,320452,366703,324347,248595,264721,299696,274818,278736,328321,307713,286883,289354,291423,306506,240570,339315,326800,283991,287788
Canada,132637,150003,168768,179154,182281,218427,190564,221936,214699,216212,207888,201198,218001,212657,221152,224652,290116,292174,223649,246199
Spain,256591,304843,335818,277568,198375,224185,158933,136416,129034,149996,138856,153302,167095,188262,191858,167147,257424,239081,222471,239170
Italy,90229,107772,134792,122314,110263,124299,137370,110405,111054,111463,100545,130003,121943,148505,135953,118473,164966,182308,192322,201753
United Arab Emirates,37232,,49415,75967,,,,51160,43206,56168,62146,51787,74525,63720,70634,53256,66273,74391,76884,151045
Australia,51462,58642,72356,88162,73639,90657,92089,94454,101320,129504,130621,135813,137051,157655,130532,130903,140948,161404,119571,149806
Poland,37775,40179,52632,66834,47944,47553,48379,44136,46759,58174,58176,69642,70270,89429,98327,117482,154409,140895,118976,136837
"Korea, Republic of",50788,60267,76151,82078,69965,85048,97170,88222,95208,120207,143881,151726,151064,161269,155223,140964,178948,175920,111628,133408
Japan,62864,66558,77513,75275,68163,75968,102217,101798,112396,122885,116318,106771,107000,114841,123267,126542,117098,132562,126270,121734
Belgium,75857,89487,122658,118234,108230,118455,117877,105137,98841,101271,75795,78567,89074,103463,96346,101736,120394,106982,102352,106068
"Taipei, Chinese",32813,40546,43288,42200,32418,39584,44502,46046,48375,60717,61939,52547,51113,56558,58961,65147,73417,99444,89899,100399
Russian Federation,66064,92741,135854,144586,81513,98629,125231,146843,150549,128785,66875,49192,58114,67376,66717,71902,101662,94152,110667,98317
Netherlands,51389,70270,109058,111966,90643,88280,108658,90460,88570,99396,88161,90830,109882,121112,123529,126395,168384,120717,89150,97161
Austria,37873,44052,47148,60903,54177,56348,67124,66784,68586,75325,68396,72737,80559,81727,75909,80534,98932,93767,92272,96839
Mexico,13442,17370,24043,33457,25611,27764,30836,34973,40780,39757,47800,51047,46994,58311,61184,46128,76305,77132,83790,93687
Switzerland,35850,38371,45743,67859,54884,59091,75124,70502,71068,71949,61487,67094,76827,80588,79021,90175,103372,92800,97082,83913
Saudi Arabia,39398,41473,40547,52182,53652,47116,58069,76456,83316,86544,92665,71824,63643,48792,58194,69487,60389,82939,69261,79406
Czech Republic,25583,28398,38219,42279,32399,32111,39616,39632,46678,50408,42070,46385,51491,53876,54187,55514,71724,75607,68564,74331
India,7802,13435,21378,30042,23192,36697,54487,65690,68345,81543,74159,77875,92670,110247,104026,67366,113831,119025,78742,73319
Slovakia,20327,17663,25835,36088,27118,28142,25933,23483,26289,26443,22821,22604,24755,25819,24321,24414,30326,56622,157790,72937
Portugal,27838,33715,35289,36192,26354,32169,24268,17448,14754,21724,18883,21099,26038,31169,36128,32605,47562,59203,60478,71691
Thailand,2547,4118,5315,8568,10875,17420,22437,29083,29967,33865,34923,26196,26652,37325,47970,46143,63131,63559,68087,69624
China,18574,23995,28484,32293,29037,43028,66922,50890,47203,46467,36106,42676,70643,104979,120957,107491,154933,106868,86589,67517
Denmark,64479,77529,97893,114547,62497,64193,57018,68374,76452,79304,58434,46092,52776,55394,55501,60972,80506,66458,65695,66748
Philippines,5874,6132,6637,8896,7941,11040,16513,23749,24598,30408,43097,32983,35581,54614,64294,43293,66755,76261,72106,66304
Nigeria,,16929,35341,59982,51875,107456,28118,22243,29212,25871,29114,31993,20831,25621,51687,59151,35498,63306,101548,64631
