Importers,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
World,9594865,10544279,11592030,12152001,9905923,10756571,11584252,12168013,13033139,13070103,12506458,12685668,1883676,1130226,1012941,712523,130158,109590,86230,70044
Senegal,20519,22083,28852,33284,29317,27207,30955,29436,33599,34224,25936,31319,39262,50319,48615,39479,50439,44899,44150,38260
Trinidad and Tobago,14559,15749,20138,20434,15866,16421,18837,24144,24437,26396,25731,21701,19766,19846,19062,14939,17206,34660,19649,15921
Suriname,0,,0,,6091,6372,7407,8154,9540,8107,8672,4844,5218,4807,4208,3910,4361,7211,5291,6601
Antigua and Barbuda,943,,3356,,1373,814,920,1040,1117,1212,2016,1545,2032,2227,2039,1765,1639,3114,3558,2756
Tajikistan,,,,,,,,,,15868,16858,27480,20154,9954,5593,3974,7056,5600,6593,2425
Grenada,2339,1948,2061,2004,,1707,1520,1094,2242,1488,1468,1584,2280,2563,2491,2038,1697,3608,2104,2309
Fiji,3935,4399,4135,4205,3631,2768,2701,2893,3833,4255,5534,5937,2907,1862,555,232,124,109,266,689
Papua New Guinea,,,,,,,2572,2628,,,,,,,2023,1861,1005,1641,489,584
Benin,5676,5806,6843,8966,8382,8477,11590,12937,17540,15725,20146,17088,11941,7963,1790,327,564,568,1316,338
Zimbabwe,2630,2782,2929,1882,3990,9855,15114,19647,18961,20825,21794,18641,10322,391,80,216,12,0,0,107
Saint Lucia,2358,3311,1756,1934,,,,2402,2349,2156,2772,2662,2696,2328,2003,1780,1,14,6,20
Saint Vincent and the Grenadines,1190,1268,2122,2145,1440,1758,1746,1598,1853,1282,1605,1509,1619,1692,1409,1169,1418,2930,0,13
Zambia,2564,4146,5054,6547,7853,10252,13232,14884,16423,16920,14988,13596,15764,16573,10311,47,61,714,53,9
Mali,3758,5602,8104,13178,,16629,19677,18004,,,,23525,28298,6,0,63,0,0,0,5
Equatorial Guinea,3463,3884,6155,6024,8038,6806,11300,14299,12841,12169,7305,8898,119,,,,,,,4
Wallis and Futuna Islands,57,66,48,128,34,27,55,90,72,122,75,81,6,9,,,,,,2
Gabon,6126,4547,6202,8008,5597,9252,10372,5168,6911,6540,6957,10060,5088,6807,5107,444,0,0,0,1
Georgia,9727,17926,22691,32300,22475,30082,38841,41662,42477,48596,40990,41590,40994,41956,42866,28848,0,0,0,0
Gambia,1542,936,1143,1049,1755,1716,1816,1809,2362,3147,3105,3605,3105,3838,4723,3217,714,0,0,0
Germany,529792,565399,538944,588044,565334,552745,636228,562685,563331,622087,550573,571682,0,0,0,0,0,0,0,0
Dominican Republic,38887,83798,73451,69973,60698,52412,67062,52724,56086,78855,96702,88688,0,0,0,0,0,0,0,0
Ecuador,26016,32250,40393,45862,19596,44042,51051,51303,62507,47210,43771,24443,28497,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,27110,0,0,28885,31850,0,0,0,0,0,0,0,0
Finland,52931,52643,59209,60787,48304,55514,54358,44773,48052,45350,37754,37562,0,0,0,0,0,0,0,0
France,951163,951981,1087065,1195092,1015613,985749,1053944,934113,905240,909193,723561,735525,0,0,0,0,0,0,0,0
French Polynesia,4469,4514,4285,6699,3819,3798,3883,3383,3215,3169,2576,2311,1416,1028,0,0,0,0,0,0
Denmark,44814,51952,54616,52721,37124,42249,43415,42468,41229,35161,33359,30813,0,0,0,0,0,0,0,0
Cyprus,57826,57978,69890,78855,53298,46907,44702,28548,20962,21615,21283,24041,0,0,0,0,0,0,0,0
Czech Republic,60343,64800,93979,115969,87898,79257,104704,97567,104053,101109,80424,89385,0,0,0,0,0,0,0,0
Cook Islands,236,,,,,,,,,,,,,,,,,0,0,0
Costa Rica,31369,39674,49401,54178,28954,34008,40595,49226,46783,44327,44627,44459,0,0,0,0,0,0,0,0
Croatia,74406,89167,104421,113965,76491,63513,69286,55722,55610,55137,49363,54130,0,0,0,0,0,0,0,0
Chile,47811,64979,64299,135941,91168,156086,140070,177611,176649,159911,189774,180663,0,0,0,0,0,0,0,0
China,14436,20588,32032,35612,34066,55087,65568,55325,64003,73821,72847,76172,0,0,0,0,0,0,0,0
Colombia,27805,51722,56549,58294,52598,91996,122591,138121,136164,135967,103032,92191,0,0,0,0,0,0,0,0
Azerbaijan,13117,10450,15829,21056,20473,14933,19484,22115,21800,29477,23046,28037,14295,0,0,0,0,0,0,0
Argentina,16455,30092,41958,51078,23144,32089,47047,32577,30665,32426,42560,41972,66928,0,0,0,0,0,0,0
Australia,227010,219046,260038,275917,216690,227292,204438,207719,225584,263333,276528,282673,0,0,0,0,0,0,0,0
Austria,140947,140481,159258,161707,147474,149792,171398,158019,164958,154079,131907,138872,0,0,0,0,0,0,0,0
Bahamas,8069,7966,7803,6539,4672,3969,3333,4898,4254,8048,7412,7188,7669,1337,67,0,0,0,0,0
Bahrain,29832,27567,34890,46439,34434,31098,30562,38457,43113,42627,46205,42883,8526,0,0,0,0,0,0,0
Armenia,5618,11070,21691,30265,18549,18128,21378,14926,16788,16566,11534,11863,0,0,0,0,0,0,0,0
Barbados,6056,6451,8465,6997,4824,5287,3873,4364,4127,4518,4252,4344,4229,3172,1710,0,0,0,0,0
Belgium,168622,179644,215120,215212,181174,161799,162378,152084,162050,181164,155900,165960,0,0,0,0,0,0,0,0
Bermuda,,,,,,,,144,284,164,119,120,0,0,0,0,0,0,0,0
Bhutan,37,46,35,25,7,7,50,104,,,,79,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State of",2724,3696,3611,4778,7521,15180,16164,16116,17997,18050,21348,25777,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,36581,33724,44426,50225,33323,33042,37296,30698,30067,37475,31000,33383,0,0,0,0,0,0,0,0
Botswana,6497,4426,5770,7612,8937,12549,11705,10866,9848,9860,8704,10087,2924,13,6,46,0,0,0,0
Brazil,2129,6351,13940,27243,20689,30158,41565,67702,90864,72540,56492,25141,49,0,0,0,0,0,0,0
Belize,1683,2291,2102,2461,2246,1848,1705,2164,2554,2775,2935,3278,3681,572,0,0,0,0,0,0
Cambodia,12956,17868,21739,28779,22907,21852,6414,4746,5610,10088,9079,10959,137,0,179,0,0,0,0,0
Canada,190300,196514,225450,222918,196631,252101,209880,245581,255486,253653,246256,244444,0,0,0,0,0,0,0,0
Cabo Verde,6379,6975,8684,13965,8997,7575,8372,7758,6450,8313,6651,8815,7848,6892,0,0,0,0,0,0
Central African Republic,,0,299,422,516,482,718,657,304,127,507,325,987,248,749,603,416,0,0,0
Sri Lanka,14753,19607,20429,19450,11393,17541,32089,43796,40891,46052,58084,76680,0,,0,0,0,0,0,0
Albania,41368,45545,56872,67659,56677,53514,55763,41747,41718,40853,31773,36328,0,0,0,0,0,0,0,0
Brunei Darussalam,2062,2040,5041,4463,6304,9078,8287,9577,8653,7409,6829,6273,1255,0,0,0,0,0,0,0
Bulgaria,44713,54734,78734,90506,48591,40059,45612,42879,30150,27797,25288,26165,0,0,0,0,0,0,0,0
Myanmar,,,,,,4210,10646,17335,18888,37115,43617,44778,0,0,0,0,0,0,0,0
